district,channel_name,channel_id
Raigad,Raigad,39
Pune,40,Pune
Jaipur,30,Jaipur
Thane,71,Thane
Udaipur,14,Udaipur
Agar-Malwa,85,AgarMalwa
Agra,86,Agra
Ahilyanagar,87,Ahilyanagar
Ahmedabad,88,Ahmedabad
Aizawl,89,Aizawl
Akola,90,Akola
Alappuzha,91,Alappuzha
Aligarh,92,Aligarh
Alipurduar,93,Alipurduar
Alirajpur,94,Alirajpur
Almora,96,Almora
Alwar,97,Alwar
Ambala,98,Ambala
Amethi,100,Amethi
Amravati,101,Amravati
Amreli,102,Amreli
Amritsar,103,Amritsar
Amroha,104,Amroha
Anakapalli,105,Anakapalli
Anand,106,Anand
Ananthapuramu,107,Ananthapuramu
Anantnag,108,Anantnag
Angul,109,Angul
Anjaw,110,Anjaw
Annamayya,111,Annamayya
Anuppur,112,Anuppur
Araria,113,Araria
Ariyalur,114,Ariyalur
Arvalli,115,Arvalli
Arwal,116,Arwal
Ashoknagar,117,Ashoknagar
Auraiya,118,Auraiya
Aurangabad,119,Aurangabad
Aurangabad,119,Aurangabad
Ayodhya,120,Ayodhya
Azamgarh,121,Azamgarh
Bagalkote,122,Bagalkote
Bageshwar,123,Bageshwar
Baghpat,124,Baghpat
Bahraich,125,Bahraich
Bajali,126,Bajali
Baksa,127,Baksa
Balaghat,128,Balaghat
Balangir,129,Balangir
Baleshwar,130,Baleshwar
Ballari,131,Ballari
Ballia,132,Ballia
Balod,133,Balod
Balodabazar-Bhatapara,134,BalodabazarBhatapara
Balotra,135,Balotra
Balrampur,136,Balrampur
Balrampur-Ramanujganj,137,BalrampurRamanujganj
Banda,139,Banda
Bandipora,140,Bandipora
Banka,141,Banka
Bankura,142,Bankura
Banswara,143,Banswara
Bapatla,144,Bapatla
Baramulla,146,Baramulla
Baran,147,Baran
Bareilly,148,Bareilly
Bargarh,149,Bargarh
Barmer,150,Barmer
Barnala,151,Barnala
Barpeta,152,Barpeta
Barwani,153,Barwani
Bastar,154,Bastar
Basti,155,Basti
Bathinda,156,Bathinda
Beawar,157,Beawar
Beed,158,Beed
Begusarai,159,Begusarai
Belagavi,160,Belagavi
Bemetara,161,Bemetara
Betul,165,Betul
Bhadohi,166,Bhadohi
Bhadrak,168,Bhadrak
Bhagalpur,169,Bhagalpur
Bhandara,170,Bhandara
Bharatpur,171,Bharatpur
Bharuch,172,Bharuch
Bhavnagar,173,Bhavnagar
Bhilwara,174,Bhilwara
Bhind,175,Bhind
Bhiwani,176,Bhiwani
Bhojpur,177,Bhojpur
Bhopal,178,Bhopal
Bichom,179,Bichom
Bidar,180,Bidar
Bijapur,181,Bijapur
Bijnor,182,Bijnor
Bikaner,183,Bikaner
Bilaspur,184,Bilaspur
Bichom,179,Bichom
Bidar,180,Bidar
Bijapur,181,Bijapur
Bijnor,182,Bijnor
Bikaner,183,Bikaner
Bilaspur,184,Bilaspur
Bilaspur,184,Bilaspur
Birbhum,185,Birbhum
Bishnupur,186,Bishnupur
Biswanath,187,Biswanath
Bokaro,188,Bokaro
Bongaigaon,189,Bongaigaon
Botad,190,Botad
Boudh,191,Boudh
Budaun,192,Budaun
Budgam,193,Budgam
Bulandshahr,194,Bulandshahr
Buldhana,195,Buldhana
Bundi,196,Bundi
Burhanpur,197,Burhanpur
Buxar,198,Buxar
Cachar,199,Cachar
Central,200,Central
Chamarajanagar,201,Chamarajanagar
Chamba,202,Chamba
Chamoli,203,Chamoli
Champawat,204,Champawat
Champhai,205,Champhai
Chandauli,206,Chandauli
Chandel,207,Chandel
Chandigarh,208,Chandigarh
Chandrapur,209,Chandrapur
Changlang,210,Changlang
Charaideo,211,Charaideo
Chatra,213,Chatra
Chengalpattu,214,Chengalpattu
Chennai,215,Chennai
Chhatarpur,216,Chhatarpur
Chhindwara,218,Chhindwara
Chhotaudepur,219,Chhotaudepur
Chikkaballapura,220,Chikkaballapura
Chikkamagaluru,221,Chikkamagaluru
Chirang,222,Chirang
Chitradurga,223,Chitradurga
Chitrakoot,224,Chitrakoot
Chittoor,225,Chittoor
Chittorgarh,226,Chittorgarh
Chumoukedima,227,Chumoukedima
Churachandpur,228,Churachandpur
Churu,229,Churu
Coimbatore,230,Coimbatore
Cuddalore,232,Cuddalore
Cuttack,233,Cuttack
Dahod,235,Dahod
Daman,239,Daman
Damoh,240,Damoh
Dangs,241,Dangs
Darbhanga,242,Darbhanga
Darjeeling,243,Darjeeling
Darrang,244,Darrang
Datia,245,Datia
Dausa,246,Dausa
Davanagere,247,Davanagere
Deeg,248,Deeg
Dehradun,249,Dehradun
Deogarh,250,Deogarh
Deoghar,251,Deoghar
Deoria,252,Deoria
Dewas,254,Dewas
Dhalai,255,Dhalai
Dhamtari,256,Dhamtari
Dhanbad,257,Dhanbad
Dhar,258,Dhar
Dharashiv,259,Dharashiv
Dharmapuri,260,Dharmapuri
Dharwad,261,Dharwad
Dhemaji,262,Dhemaji
Dhenkanal,263,Dhenkanal
Dholpur,264,Dholpur
Dhubri,265,Dhubri
Dhule,266,Dhule
